homoSapienGeneId	Human_Brain_Female	Human_Brain_Male1	Human_Brain_Male2	Human_Brain_Male3	Human_Brain_Male4	Human_Brain_Male5	Human_Cerebellum_Female	Human_Cerebellum_Male	Human_Heart_Female	Human_Heart_Male1	Human_Heart_Male2	Human_Kidney_Female	Human_Kidney_Male1	Human_Kidney_Male2	Human_Liver_Male1	Human_Liver_Male2	Human_Testis_Male1	Human_Testis_Male2	Chimpanzee_Brain_Male1	Chimpanzee_Brain_Male2	Chimpanzee_Brain_Male3	Chimpanzee_Brain_Male4	Chimpanzee_Brain_Male5	Chimpanzee_Brain_Female	Chimpanzee_Cerebellum_Male	Chimpanzee_Cerebellum_Female	Chimpanzee_Heart_Male	Chimpanzee_Heart_Female	Chimpanzee_Kidney_Male	Chimpanzee_Kidney_Female	Chimpanzee_Liver_Male	Chimpanzee_Liver_Female	Chimpanzee_Testis_Male	Gorilla_Brain_Female	Gorilla_Brain_Male	Gorilla_Cerebellum_Female	Gorilla_Cerebellum_Male	Gorilla_Heart_Female	Gorilla_Heart_Male	Gorilla_Kidney_Female	Gorilla_Kidney_Male	Gorilla_Liver_Female	Gorilla_Liver_Male	Gorilla_Testis_Male	Orangutan_Brain_Male	Orangutan_Brain_Female	Orangutan_Cerebellum_Female	Orangutan_Heart_Female	Orangutan_Heart_Male	Orangutan_Kidney_Female	Orangutan_Kidney_Male	Orangutan_Liver_Female	Orangutan_Liver_Male	Macaque_Brain_Female	Macaque_Brain_Male2	Macaque_Cerebellum_Female	Macaque_Cerebellum_Male	Macaque_Heart_Female	Macaque_Heart_Male	Macaque_Kidney_Female	Macaque_Kidney_Male	Macaque_Liver_Female	Macaque_Liver_Male	Macaque_Testis_Male2	Mouse_Brain_Female	Mouse_Brain_Male1	Mouse_Brain_Male2	Mouse_Cerebellum_Female	Mouse_Cerebellum_Male1	Mouse_Cerebellum_Male2	Mouse_Heart_Female	Mouse_Heart_Male1	Mouse_Heart_Male2	Mouse_Kidney_Female	Mouse_Kidney_Male1	Mouse_Kidney_Male2	Mouse_Liver_Female	Mouse_Liver_Male1	Mouse_Liver_Male2	Mouse_Testis_Male1	Mouse_Testis_Male2	Opossum_Brain_Female	Opossum_Brain_Male	Opossum_Cerebellum_Female	Opossum_Cerebellum_Male	Opossum_Heart_Female	Opossum_Heart_Male	Opossum_Kidney_Female	Opossum_Kidney_Male	Opossum_Liver_Female	Opossum_Liver_Male	Opossum_Testis_Male1	Opossum_Testis_Male2	Platypus_Brain_Female	Platypus_Brain_Male	Platypus_Cerebellum_Female	Platypus_Cerebellum_Male	Platypus_Heart_Female	Platypus_Heart_Male	Platypus_Kidney_Female	Platypus_Kidney_Male	Platypus_Liver_Female	Platypus_Liver_Male	Platypus_Testis_Male1	Platypus_Testis_Male2	Platypus_Testis_Male3	Chicken_Brain_Female	Chicken_Brain_Male	Chicken_Cerebellum_Female	Chicken_Cerebellum_Male	Chicken_Heart_Female	Chicken_Heart_Male	Chicken_Kidney_Female	Chicken_Kidney_Male	Chicken_Liver_Female	Chicken_Liver_Male	Chicken_Testis_Male1	Chicken_Testis_Male2
ENSG00000151876	2561	2650	2341	1738	1514	0	680	3859	1157	1543	1884	2653	2423	4949	8013	2803	1358	5804	1061	2258	1364	3405	2330	2726	2446	9480	2719	5717	9672	12694	1998	13289	8766	3279	2071	3059	3189	783	888	4741	10952	8641	13200	11610	1447	3184	2936	4951	2405	1180	4813	2401	6648	2481	1708	5075	2360	3734	2344	5036	1993	6250	6707	10129	5415	15163	3652	7958	2892	5211	9558	5349	6144	9786	10492	8275	10215	10595	8830	5409	7503	15772	3783	8454	8555	6326	16839	26206	16932	7508	5285	4945	12768	14972	6805	10009	10271	7252	5228	12826	10938	10542	8027	3931	20600	9595	679	1376	1332	4491	1092	2456	1665	2408	4169	2502	10666	13699
ENSG00000136169	6399	6395	7721	1540	2125	428	5990	8280	4731	5570	7153	10371	3158	6081	12843	4071	2846	24439	2894	4474	4891	8690	6037	4779	6239	9948	16183	8871	26370	10813	2973	7780	20593	7797	4057	6968	5741	2803	1844	7792	15211	11996	23479	22855	1039	2149	3794	7072	1687	2927	6246	2181	8291	7968	6733	19109	11352	55156	22178	14989	25524	4676	4810	57777	4480	8051	1513	4307	1210	4534	4235	3380	3508	7293	7873	7670	8665	4987	12190	12329	7724	24450	5359	4904	5527	974	6846	4321	2682	2834	1318	11957	34250	17943	12731	15142	11631	3332	5702	3811	6888	4198	3588	8784	32544	14029	11082	8897	10156	12110	10230	11918	16373	11864	10837	5620	14664	28798
ENSG00000114279	60400	34891	80226	24507	1745	4167	16648	47524	50205	85162	61367	1443	76	607	228	129	531	2853	16579	15029	18657	58975	30738	24350	22547	26557	222061	73897	913	532	682	0	8450	82107	26439	30068	7210	36448	2985	1440	2201	1367	2801	2478	18173	46988	17532	101387	25102	661	404	379	551	20278	29364	16252	15138	44443	17736	134	790	139	75	799	159212	343797	55129	116079	38776	78871	16901	380	8156	1142	682	151	456	0	225	4124	2282	79817	13570	15311	12537	75	466	270	286	0	0	1419	6115	11312	7815	3517	2112	0	0	0	57	73	0	0	333	152	137487	98993	73151	73503	2493	1362	34201	23424	302	228	2793	5383
ENSG00000134871	22754	23950	11228	15884	6835	4446	18943	50375	440963	319862	427084	329031	229701	244633	33441	39366	37291	179473	47204	42654	18053	32478	26011	14222	19424	30052	206634	154325	398574	356502	60308	96213	15091	45619	26504	19333	8970	146882	153609	358470	286703	58346	185318	54495	17155	38345	15090	148255	47412	133759	136366	147492	40836	22006	46920	22823	49560	141457	257836	134597	66231	28071	54383	12857	82296	245362	66501	60779	31532	32394	582255	377008	234252	181677	216761	228278	28709	37286	32476	27395	27601	101899	24492	27969	26635	180131	555965	151933	140792	20255	21257	29965	64475	37202	19004	26585	11602	67974	59358	43135	100997	21097	23152	8697	82271	27630	57553	27739	150765	228908	164520	138157	209092	165540	26017	29806	24962	21932
ENSG00000163661	456	759	380	277	152	379	380	3415	13689	2109	70905	456	0	532	76	76	227	1801	152	304	75	608	303	456	228	827	455	4476	1711	911	76	2722	1839	836	912	1140	607	228	1368	529	682	152	2051	7230	227	937	335	19056	1465	468	327	447	0	76	303	228	303	1215	608	152	227	607	76	228	225	416	149	228	0	228	1904	276	380	380	76	380	152	0	0	124	0	1299	380	152	456	75	76	303	573	0	0	75	986	1139	151	1061	803	75	301	322	1403	0	0	0	151	0	1265	603	1443	2190	0	152	1153	537	831	1063	1267	760
ENSG00000077782	61918	62443	56946	51763	40781	11345	580688	615321	132443	234434	116867	68976	60166	55016	8710	12191	42746	179133	46678	34117	30123	29674	50102	37249	329501	283115	105035	80426	136701	94719	10308	17019	46532	73524	38161	355866	149291	72076	57654	90516	58492	25444	38897	49055	14967	59085	233486	116652	56267	53964	48201	24481	10214	75015	100660	192462	200340	45394	86251	42467	33178	20612	19731	8921	93730	256576	48479	283458	148075	153513	76589	25378	38406	66741	59807	64392	9629	17054	3028	14643	13754	56012	17139	96682	89990	17254	32709	30219	11374	1464	2406	2977	5606	84101	44397	103514	166138	29982	17815	34452	25806	1951	1857	20265	100906	23535	47607	26878	56079	83629	15657	22562	94923	73485	2632	23156	18196	7086
ENSG00000135763	9144	6101	8185	6088	5486	1134	8105	19544	2807	5982	8101	4852	3263	2882	4245	8849	8629	35353	3418	2227	3793	4937	5101	2805	4842	8960	2583	4243	5613	7112	1592	7284	22126	13368	7279	9675	6197	3252	957	7217	5515	7465	9056	39107	2836	3683	3910	5191	945	4074	5891	5353	6351	8345	14327	12482	8710	2493	5598	5151	4464	7586	11481	24526	22607	63003	11305	28882	10218	19524	13280	10987	11900	14845	13859	14949	20381	16999	10572	149870	98841	3877	710	976	1214	531	2274	605	826	606	378	501	1293	12335	9581	11732	9698	8242	4082	5896	11734	6962	6789	2648	16964	3599	10200	9656	13265	17425	7270	6302	5059	9116	9401	8447	22997	31372
ENSG00000118816	293094	279293	490921	262647	134041	30942	358930	1324350	204060	212531	244734	163561	262835	245190	109557	71609	79808	584227	195836	153844	181520	371114	217154	143177	363298	769479	169150	168112	371075	201335	31184	56452	119148	194958	76085	186120	45724	22348	13759	85671	103185	24920	46198	70674	121715	284649	245691	139406	33700	123301	163765	32501	39706	158478	175188	311043	324359	53212	86701	58543	71284	51892	87913	70090	184194	473799	85632	198582	108212	158672	95097	68949	83352	190048	183900	206714	110570	61770	74567	150908	176253	299387	76005	134665	145847	205664	467273	186234	96836	60287	41849	29206	69480	427841	280622	279547	292466	358910	277505	191031	233281	113572	86066	39906	199222	86946	309764	145930	367923	440771	266341	313185	328551	293181	103610	170876	802808	386601
ENSG00000166130	984	1138	1821	425	810	0	456	347	5294	1520	5307	2961	303	4101	4557	1517	829	4032	662	710	456	836	1364	898	456	456	4020	3880	6601	4467	1137	13428	3335	1106	607	152	607	606	1062	2859	2949	3792	5055	3977	164	492	198	2636	509	601	986	1618	1289	533	1140	1444	1593	2369	4601	1669	1362	2677	1495	6104	9604	21559	5050	13966	4024	11307	17377	9358	10393	13822	11769	8275	2811	1591	2733	2806	3730	143227	30630	22986	21912	2665	13296	6909	6406	1389	1587	11734	21898	6106	3720	2880	2215	1520	3692	228	2359	1478	1060	22438	59998	29283	1092	1234	1138	1574	2470	1676	3742	1786	4576	1258	51941	82698
ENSG00000134186	41183	26020	30685	9947	26668	1960	145787	92405	34240	15895	45945	31626	2666	40016	29309	25750	4439	74248	9910	22761	18507	23270	27008	31285	108443	87721	48626	35840	70024	46106	20164	73044	98982	56994	17875	148257	80533	19463	20615	35102	80171	54591	81349	56177	10990	38918	56009	29968	22198	40946	44156	36428	42808	22163	23149	70470	51682	27490	18296	19709	25288	11926	9420	89134	60482	160956	32454	231277	36666	213389	68522	23026	57769	113490	51288	178972	86332	27831	60733	43548	150546	79866	24866	22014	24069	11995	42425	18545	19796	21552	9689	30947	206789	20589	11335	27961	14414	7963	11514	8350	17739	21759	15539	19888	68880	104087	15635	9210	20580	26213	15293	7965	30841	13905	24016	12907	29361	110673
ENSG00000164484	4636	1714	7594	1367	152	683	227	682	304	0	152	10577	6914	6962	303	152	151	12067	1139	4664	1973	2431	5339	4218	0	228	0	152	4555	3420	304	76	607	2720	759	76	0	0	380	3720	3952	228	988	1595	3292	4198	0	0	0	988	1261	0	379	5125	6450	152	152	0	228	380	152	0	0	3695	19592	44914	7215	5470	2582	5619	0	0	228	1745	304	456	0	76	0	12487	8579	18391	3074	1245	1215	0	76	380	380	0	152	2370	5326	11340	9675	3439	6883	988	1095	303	304	0	0	1313	7004	2189	5595	4383	1955	2525	988	228	1449	988	665	912	1900	2917
ENSG00000088808	73570	59199	60867	50687	13817	14474	188642	181530	90606	133703	81562	53225	46016	38294	22496	39742	56585	298739	62372	44672	35739	70483	59109	38676	64574	107856	141833	104427	61363	74443	7948	33551	168318	91187	58484	95829	40967	85692	39560	49961	58348	32282	30881	175360	53587	82237	60696	56528	57228	48041	51205	11918	36776	51122	84723	50888	55786	69228	49163	18335	23145	10064	33491	408068	111567	280626	60324	104812	58739	82419	44617	31276	29530	22221	23516	24414	21920	21526	9255	52136	67057	118706	24074	46222	42300	33179	94908	15552	10152	10824	7745	21176	41185	49279	31815	54174	53009	37625	25335	6594	11761	9703	8877	15049	42656	25919	54869	35859	58704	62119	298928	354443	42435	39871	23470	15928	320211	404423
ENSG00000077935	76	3	152	0	76	0	235	387	76	0	0	0	45	0	228	164	8508	64849	0	76	160	245	87	426	118	138	0	413	151	93	0	76	77650	76	30	167	98	76	173	68	0	228	334	57117	0	0	63	76	0	0	0	0	0	166	76	322	76	0	0	147	0	0	0	79296	500	372	76	141	224	65	76	0	152	0	75	0	76	303	454	163950	253171	349	0	251	185	0	0	72	0	76	76	291075	940210	1972	1472	2799	3130	100	488	302	1040	1180	848	65973	216319	182059	0	76	0	57	0	0	0	0	0	0	88107	306566
ENSG00000140623	219	150	303	34	2701	0	1063	1862	76	0	75	148	75	76	227	0	72675	228121	0	0	7	76	0	0	74	378	0	76	152	0	0	0	123419	0	0	0	75	0	303	9	0	75	0	90253	425	762	1415	496	260	545	450	75	75	629	1589	2421	8281	162	334	148	160	0	1283	598425	75	54	0	0	0	0	0	0	0	0	0	0	0	526	0	244418	353369	0	76	62	0	0	0	82	120	0	0	61547	239726	121	74	0	199	149	0	601	1052	207	74	10541	19912	21794	3123	2305	21033	26461	297	538	1332	1396	1491	1334	5817	2756
ENSG00000119125	161351	99471	248129	51262	3862	11587	76	76	152	608	227	89348	18317	111968	66589	37616	668	3199	35479	89382	61568	131643	115713	72184	76	0	0	76	72910	15287	23799	6784	1214	56072	17169	0	0	0	0	68611	50370	15310	2391	1146	104728	184367	152	228	0	10692	44837	75	0	109266	195039	76	9	228	152	177116	54754	18538	19497	1163	272263	731601	112020	6519	3786	3947	23235	12399	36000	8648	8598	10475	52383	10681	59885	3182	3263	81922	10285	2214	2110	3109	10736	37409	28599	11863	10586	9888	16557	30406	27398	7805	4206	9454	3629	19161	15386	15043	7739	17969	50345	25324	46404	31079	820	1702	1720	995	8942	15836	9119	1351	356	183
ENSG00000050165	783461	610345	811635	488381	67590	130464	762462	1103781	774946	443160	447123	11644	25218	15455	9998	3563	43153	69086	279892	204975	254513	429116	345145	309677	56432	143481	102757	261513	52311	36860	6536	22955	5833	557614	332096	147789	86403	75754	25171	23263	11507	15220	44610	5766	393242	686936	314133	17519	5300	9492	9479	7060	6058	325758	496801	622503	555625	388501	1182274	34495	24895	3931	10825	144970	261383	753219	150619	63181	30243	24275	192654	1192	108006	33335	16816	70506	3382	1898	16969	303	5895	269129	92977	73275	71822	36779	13857	4652	2993	1566	572	1058	16	18160	11888	10914	15012	2618	3553	2366	9129	1087	668	3345	25150	7847	131311	105722	102722	129432	418001	449740	23388	27934	3622	3460	21418	36984
